key	FR	EN	DE
Set fluid block to fixed position	Placer le fluid bloc sur une position fixe	Set fluid block to fixed position	Fluid Block auf feste Position setzen
Do you want to remove the fixed position flag from the fluid block	Voulez-vous enlever la position fixe du fluid bloc suivant : 	Do you want to remove the fixed position flag from the fluid block	Wollen Sie die feste Position für folgenden Fluid Block aufheben: 
Remove fixed position flag from fluid block	Enlever la position fixe	Remove fixed position flag from fluid block	Feste Position aufheben
Edit scripts for:	Modifier les scripts pour:	Edit scripts for:	Skripte bearbeiten für:
Edit scripts	Modifier les scripts	Edit scripts	Skripte bearbeiten
Please enter a name for the new testpool:	Veuillez saisir un nom pour le nouveau testpool:	Please enter a name for the new testpool:	Bitte geben Sie einen Namen für den neuen Testpool ein:
New testpool	Nouveau testpool	New testpool	Neuer Testpool
In order to create a testpool, you have to enter a name with which the testpool can be identified!	Pour créer un testpool, vous devez saisir un nom à l'aide duquel le testpool peut être identifié	In order to create a testpool, you have to enter a name with which the testpool can be identified!	Um einen Testpool anzulegen müssen Sie einen Namen vergeben, mit dem der Testpool identifiziert werden kann.
Are you sure you want to delete the following testpool?	Êtes-vous sûr de vouloir supprimer le testpool suivant?	Are you sure you want to delete the following testpool?	Sind Sie sicher, dass Sie folgenden Testpool löschen wollen?
Delete Testpool?	Supprimer le testpool ?	Delete Testpool?	Testpool löschen?
Please enter a name for the test:	Veuillez saisir un nom pour le test:	Please enter a name for the test:	Bitte geben Sie einen Namen für den Test ein:
In order to create a test, you have to enter a name with which the test can be identified!	Pour créer un test, vous devez saisir un nom à l'aide duquel il peut être identifié	In order to create a test, you have to enter a name with which the test can be identified!	Um einen Test anzulegen müssen Sie einen Namen angeben, mit dem er identifiziert werden kann
WARNING: Recorded data for the chosen tests will also be deleted.	Attention! Les résultats sauvegardés pour ces tests seront aussi supprimés!	WARNING: Recorded data for the chosen tests will also be deleted.	Vorsicht! Ergebnisse, die zu diesen Tests gespeichert wurden werden ebenfalls gelöscht!
Localized content for the new variable:	Le contenu localisé pour la nouvelle variable:	Localized content for the new variable:	Übersetzter Inhalt für die neue Variable:
Create new variable	Créer une nouvelle variable	Create new variable	Neue Variable anlegen
Please enter a new name for the label:	Veuillez saisir un nom pour le label:	Please enter a new name for the label:	Bitte geben Sie einen Namen für das Label ein:
Create Label	Créer un label	Create Label	Label anlegen
Insert code for:	Insérer le code pour:	Insert code for:	Code einfügen für:
Counter current test page : [@counter_total]	Compteur du nombre de page de test : [@counter_total]	Counter of the current test page: [@counter_total]	Counter der aktuellen Testseite: [@counter_total]
Count of pages in the test : [@total_total]	Nombre de pages dans le test : [@total_total]	Count of pages in the test: [@total_total]	Anzahl der Seiten im Test: [@total_total]
Counter of the current test page in the labelgroup : [@counter_labelgroup]	Compteur de page de test actuel dans le groupe de label: [@counter_labelgroup]	Counter of the current test page in the labelgroup: [@counter_labelgroup]	Counter der aktuellen Testseite in der Labelgruppe: [@counter_labelgroup]
Count of test pages in the labelgroup : [@total_labelgroup]	Nombre de pages de test dans le groupe du label: [@total_labelgroup]	Count of test pages in the labelgroup: [@total_labelgroup]	Anzahl der Testseiten in der Labelgruppe: [@total_labelgroup]
The label name	Nom du label	The label name	Der Label Name
already exists. Please use another name!	existe déjà. Veuillez sélectionner un autre nom.	already exists. Please use another name!	existiert bereits. Bitte wählen Sie einen anderen Namen.
Current name for the label:	Nom actuel du label:	Current name for the label:	Aktueller Name des Labels:
Change Label	Changer le label	Change Label	Label ändern
Are you sure you want to reset all skin override settings?	Êtes-vous sûr de vouloir réinitialiser tous les paramètres du skin override?	Are you sure you want to reset all skin override settings?	Sind Sie sicher, dass Sie alle Skin Override Settings zurücksetzen wollen?
Reset Skin Override Settings	Réinitialiser les paramètres du skin override	Reset Skin Override Settings	Skin Override Settings zurücksetzen
Add to selected pool	Ajouter au pool sélectionné	Add to selected pool	Zum ausgewählten Pool hinzufügen
Add to selected pool & close dialog	Ajouter au pool sélectionné et fermer le dialogue.	Add to selected pool & close dialog	Zum ausgewählten Pool hinzufügen und Dialog schließen
Add test pages to testpool structure	Ajouter les pages de test à la structure du testpool	Add test pages to testpool structure	Testseiten zur Testpool-Struktur hinzufügen
Add to test	Ajouter au test	Add to test	Zum Test hinzufügen
Add to test & close	Ajouter au test et fermer	Add to test & close	Zum Test hinzufügen und schließen
Add test pages to test structure	Ajouter des pages de test à la structure du test	Add test pages to test structure	Testseiten zur Test-Struktur hinzufügen
The fluid test	Le fluid test	The fluid test	Der Fluid Test
testpools. Please create testpools first!	Testpools. Veuillez d'abord créer des testpools.	testpools. Please create testpools first!	Testpools. Bitte legen Sie zuerst Testpools an.
Add to fluid test	Ajouter au fluid test	Add to fluid test	Zu Fluid Test hinzufügen
Add fluid block to test:	Ajouter le fluid bloc au test	Add fluid block to test:	Fluid Block zum Test hinzufügen
Please choose a testpool:	Veuillez sélectionner un testpool	Please choose a testpool:	Bitte wählen Sie einen Testpool
Change skin settings for:	Changer les paramètres du skin pour:	Change skin settings for:	Skin Settings ändern für:
Active skin:	Skin actif	Active skin:	Aktiver Skin
Skin override settings	Paramètres du skin override	Skin override settings	Skin Sonderregeln Einstellungen
Current skin settings	Paramètres du skin actuel	Current skin settings	Aktuelle Skin Settings
Current settings test page	Paramètres actuels, page de test	Current settings test page	Aktuelle Settings, Testseite
No override allowed for this option!	Overrides ne sont pas permis pour cette option!	No override allowed for this option!	Für diese Option sind Overrides nicht zulässig!
Current label assigned:	Labels actuellement attribués:	Current label assigned:	Aktuell zugewiesenes Label:
labels found for test	Labels trouvés pour le test:	labels found for test	Labels gefunden für Test
Assign label	Attribuer un label	Assign label	Label zuweisen
Please choose a label:	Veuillez sélectionner un label:	Please choose a label:	Bitte wählen Sie ein Label:
Assign chosen label to:	Attribuer le label sélectionné à:	Assign chosen label to:	Gewähltes Label zuweisen zu:
current test page only	Seulement la page de test actuel	current test page only	Nur aktuelle Testseite
all test pages	Tous les pages de test	all test pages	Alle Testseiten
all test pages with same label	Tous les pages de test avec le même label	all test pages with the same label	Alle Testseiten mit dem selben Label
all test pages with different label	Tous les pages de test avec un label différent	all test pages with a different label	Alle Testseiten mit einem anderen Label
Please select a testpool to show assigned test pages!	Veuillez sélectionner un testpool pour afficher les pages de test attribués !	Please select a testpool to show assigned test pages!	Bitte wählen Sie einen Testpool um zugewiesene Testseiten anzuzeigen!
Please create a testpool first!	Veuillez d'abord créer un testpool	Please create a testpool first!	Bitte erstellen Sie zuerst einen Testpool
 label for your test pages	 label pour vos pages de test	 label for your test pages	 Label für Ihre Testseiten
 labels for your test pages	 labels pour vos pages de test	 labels for your test pages	 Labels für Ihre Testseiten
 variable for your test found	 variable pour votre test trouvée	 variable for your test found	 Variable für Ihren Test gefunden
 variables for your test found	 variables pour votre test trouvées	 variables for your test found	 Variablen für Ihren Test gefunden
 fluid test block in your test	 bloc de fluid test dans votre test	 fluid test block in your test	 Fluid Test Block in Ihrem Test
 fluid test blocks in your test	 blocs de fluid test dans votre test	 fluid test blocks in your test	 Fluid Test Blöcke in Ihrem Test
 test pages in your testpool	 pages de test dans votre testpool	 test pages in your testpool	 Testseiten in Ihrem Testpool
 test page in your testpool	 page de test dans votre testpool	 test page in your testpool	 Testseite in Ihrem Testpool
One or more of the duplicated tests contained deleted testpools. They have not been copied to the new test(s)!	Un ou plusieurs des tests dupliqués contiennent des testpools supprimés. Ils n’ont pas été copiés au(x) nouveau(x) test(s) !	One or more of the duplicated tests contained deleted testpools. They have not been copied to the new test(s)!	Einer oder mehrere der duplizierten Tests enthalten gelöschte Testpools. Sie wurden nicht kopiert.
This page group has no test pages!	Ce groupe de pages n'a pas de pages de test !	This page group has no test pages!	Diese Testseiten-Gruppe enthält keine Testseiten!
has no test pages assigned. Please use the testpool-editor to add test pages to the testpool!	n'a pas de pages de test. Veuillez utiliser l'éditeur de testpool pour ajouter des pages de test au testpool.	has no test pages assigned. Please use the testpool-editor to add test pages to the testpool!	hat keine Testseiten. Benutzen Sie den Testpool Editor, um Testseiten zum Testpool hinzuzufügen.
elements found in testpool	éléments trouvés dans le testpool	elements found in testpool	Elemente gefunden in Testpool
Number of test pages of this testpool to be used?	Nombre de pages de test à utiliser dans ce testpool?	Number of test pages of this testpool to be used?	Anzahl der Testseiten, die in diesem Testpool benutzt werden sollen?
Use test pages in random order or as defined in the testpool?	Utiliser les pages en ordre aléatoire ou comme definé dans le testpool?	Use test pages in random order or as defined in the testpool?	Testseiten in zufälliger Reihenfolge oder wie im Testpool definiert benutzen?
Use all	Utiliser tous	Use all	Alle benutzen
Modified test page	Pages de test modifiés	Modified test pages	Geänderte Testseiten
Notice automatic label change	Remarque: Changement automatique du label	Notice automatic label change	Hinweis: Automatische Label Änderung
Error: Your test time is set to 0 minutes. Please select a correct value!	Erreur: Votre temps de test est fixé à 0 minutes. Veuillez sélectionner une valeur correcte!	Error: Your test time is set to 0 minutes. Please select a correct value!	Fehler: Ihre Testzeit ist auf 0 Minuten gesetzt. Bitte wählen Sie einen korrekten Wert!
Error: No language active. Please select at least one language!	Erreur: Aucune langue activée. Veuillez sélectionner au moins une langue.	Error: No language active. Please select at least one language!	Fehler: Keine Sprache aktiviert. Bitte wählen Sie zumindest eine Sprache.
No issues found in your test content:	Aucune erreur trouvée dans votre contenu de test	No issues found in your test content:	Keine Fehler in Ihren Testinhalten gefunden
All test pages are still in the Content Manager.	Toutes les pages de test sont encore présentes dans le gestionnaire de contenu.	All test pages are still in the Content Manager.	Alle Testseiten sind noch im Content Manager vorhanden
All test pages are not empty and have a content.	Toutes les pages de test disposent d’un contenu.	All test pages are not empty and have a content.	Alle Testseiten haben Inhalt.
All test pages are available in the active language(s).	Toutes les pages de test sont disponibles dans les langues activées	All test pages are available in the active language(s).	Alle Testseiten sind in den aktivierten Sprachen verfügbar
Warning: You have not added any pages to your test yet. Please add test pages!	Avertissement: Vous n'avez pas ajouté de pages à votre test. Veuillez ajouter des pages de test !	Warning: You have not added any pages to your test yet. Please add test pages!	Warnung: Sie haben Ihrem Test keine Seiten hinzugefügt. Bitte fügen Sie Testseiten hinzu!
Error: Test pages have been deleted. Please remove them from your test!	Erreur: Les pages de test ont été supprimées. Veuillez les enlever de votre test.	Error: Test pages have been deleted. Please remove them from your test!	Fehler: Testseiten wurden gelöscht. Bitte entfernen Sie sie aus Ihrem Test
This test page is not available anymore. Please remove it from your test!	Cette page de test n'est plus disponible. Veuillez l'enlever de votre test	This test page is not available anymore. Please remove it from your test!	Diese Testseite ist nicht mehr verfügbar. Bitte entfernen Sie sie aus Ihrem Test
Warning: These pages have no content!	Avertissement: Ces pages n'ont pas de contenu !	Warning: These pages have no content!	Warnung: Diese Seiten haben keinen Inhalt!
This page has no content!	Cette page n'a pas de contenu	This page has no content!	Diese Seite hat keinen Inhalt!
Warning: These pages are not available in all languages of your test!	Avertissement: Ces pages ne sont pas disponibles dans toutes les langues de votre test !	Warning: These pages are not available in all languages of your test!	Warnung: Diese Seiten sind nicht in allen Sprachen Ihres Tests verfügbar!
Missing languages	Langues manquantes	Missing languages	Fehlende Sprachen
This page is not available in all languages of your test!	Cette page n'est pas disponible dans toutes les langues de votre test !	This page is not available in all languages of your test!	Diese Seite ist nicht in allen Sprachen Ihres Tests verfügbar!
New language - Please update label!	Nouvelle langue. Veuillez actualiser le label	New language - Please update label!	Neue Sprache. Bitte aktualisieren Sie das Label
Warning: Labels with missing content!	Avertissement: Labels avec contenu manquant!	Warning: Labels with missing content!	Warnung: Labels mit fehlendem Inhalt!
Plausibility check results - Linear Test	Contrôle de plausibilité - test linéaire	Plausibility check results - Linear Test	Plausibilitätsprüfung linearer Test
Warning: You have not added any fluid testblocks to your test yet!	Avertissment: Vous n'avez pas encore ajouté des blocs de fluid test à votre test!	Warning: You have not added any fluid testblocks to your test yet!	Warnung: Sie haben Ihrem Test noch keine Fuid Testblöcke hinzugefügt!
Warning: One or more of your testpools has deleted test pages!	Avertissement: Un ou plusieurs de vos testpools contiennent des pages de test supprimées !	Warning: One or more of your testpools has deleted test pages!	Warnung: Einer oder mehrere Ihrer Testpools enthält gelöschte Testseiten!
Testpools have been deleted. Please remove the blocks from your test!	Les testpools ont été supprimés. Veuillez enlever les blocs correspondants de votre test!	Testpools have been deleted. Please remove the blocks from your test!	Testpools wurden gelöscht. Bitte entfernen Sie die entsprechenden Blöcke aus Ihrem Test!
The testpool from this fluid block is not available anymore. Please remove this fluid block from your test!	Le testpool de ce fluid bloc n'est plus disponible. Veuillez enlever ce fluid bloc de votre test	The testpool from this fluid block is not available anymore. Please remove this fluid block from your test!	Der Testpool dieses Fluid Blocks ist nicht mehr verfügbar. Bitte entfernen Sie diesen Fluid Block aus Ihrem Test
Warning: These testpools have less pages than selected!	Avertissement: ces testpools ont moins de pages que sélectionnées !	Warning: These testpools have less pages than selected!	Warnung: Diese Testpools haben weniger Testseiten als ausgewählt!
This testpool has pages which are not available in all languages of your test! Languages missing:	Ce testpool contient des pages qui ne sont pas disponibles dans toutes les langues du test. Langues manquantes:	This testpool has pages which are not available in all languages of your test! Languages missing:	Dieser Testpool enthält Testseiten, die nicht in allen Sprachen des Tests verfügbar sind. Fehlende Sprachen:
Plausibility check results - Fluid Test	Résultats du contrôle de plausibilité - fluid test	Plausibility check results - Fluid Test	Plausibilitätsprüfung Ergebnisse - Fluid Test
Warning: You have not added any fluid blocks to your test yet. Please add fluid blocks!	Avertissement: Vous n'avez pas encore ajouté des fluid blocs à votre test. Veuillez ajouter des fluid blocs.	Warning: You have not added any fluid blocks to your test yet. Please add fluid blocks!	Warnung: Sie haben noch keine Fluid Blöcke zu Ihrem Test hinzugefügt. Bitte fügen Sie Fluid Blöcke hinzu.
The testpool has pages with no content. Please check the testpool!	Le testpool contient des pages de test sans contenu. Veuillez vérifier le testpool.	The testpool has pages with no content. Please check the testpool!	Der Testpool enthält Testseiten ohne Inhalt. Bitte überprüfen Sie den Testpool.
The testpool has test pages which do not support every language of your test. Please check the testpool!	Le testpool contient des pages de test qui ne soutiennent pas toutes les langues de votre test. Veuillez vérifier le testpool.	The testpool has test pages which do not support every language of your test. Please check the testpool!	Der Testpool enthält Testseiten, die nicht jede Sprache Ihres Tests unterstützten. Bitte überprüfen Sie den Testpool.
The testpool has deleted test pages. Please check the testpool!	Le testpool contient des pages de test supprimées. Veuillez vérifier le testpool.	The testpool has deleted test pages. Please check the testpool!	Der Testpool enthält gelöschte Testseiten. Bitte überprüfen Sie den Testpool.
Test pages assigned to testpool	Pages de test attribuées au testpool	Test pages assigned to testpool	Dem Testpool zugewiesene Testeiten
browsing test takers (logins)	Aperçu (logins)	browsing test takers (logins)	Übersicht (logins)
Close test taker	Fermer le participant	Close test taker	Teilnehmer schließen
Abort wizard	Annuler l'assistant	Abort wizard	Assistent abbrechen
Create test takers	Créer un participant	Create test takers	Teilnehmer anlegen
Add to selected	Appliquer à la selection	Apply to selected	Auf Auswahl anwenden
Add to selected & close	Appliquer à la selection et fermer	Apply to selected & close	Auf Auswahl anwenden und schließen
Import from file	Importer du fichier	Import from file	Aus Datei importieren
New tt template	Nouveau modèle	New template	Neues Template
New test taker	Nouveau participant	New test taker	Neuer Teilnehmer
New template	Nouveau modèle	New template	Neues Template
Test Takers	Participants	Test Takers	Teilnehmer
Test taker wizard	Assistant de création	Wizard	Assistent
Import from CSV	Importer du CSV	Import from CSV	Von CSV importieren
Export to CSV	Exporter vers CSV	Export to CSV	Nach CSV exportieren
Edit test taker	Editer le participant	Edit test taker	Teilnehmer editieren
Duplicate test taker	Dupliquer le participant	Duplicate test taker	Teilnehmer duplizieren
Override settings	Remplacer paramètres	Special conditions	Sonderregeln
Reset test taker results	Supprimer les résultats	Reset test taker results	Ergebnisse löschen
Results	Résultats	Results	Ergebnisse
Test takers (Logins)	Participants (logins)	Test takers (Logins)	Teilnehmer (Logins)
Meta-tags	Meta Tags	Meta-tags	Meta-Tags
Passwords	Mots de passe	Passwords	Passwörter
passwords	mots de passe	passwords	Passwörter
Tests assigned	Tests attribués	Tests assigned	Zugewiesene Tests
tests assigned	tests attribués	tests assigned	Tests zugewiesen
Please create a password first!	Veuillez d'abord créer un mot de passe !	Please create a password first!	Bitte erstellen Sie zuerst ein Passwort!
No test assigned yet. Click on the Plus-Icon to assign a test!	Pas encore de test attribué. Veuillez cliquer sur l’icon « Plus »  pour attribuer un test.	No test assigned yet. Click on the Plus-Icon to assign a test!	Noch kein Test zugewiesen. Klicken Sie das Plus-Icon um einen Test zuzuweisen.
Assigned Tests	Tests attribués	Assigned Tests	Zugewiesene Tests
Create from CSV	Créer du CSV	Create from CSV	Von CSV erstellen
Please select a csv-file from your local disk.	Veuillez sélectionner un fichier CSV	Please select a csv-file from your local disk.	Bitte wählen Sie eine CSV Datei.
Example CSV-file:	Modèle CSV:	Example CSV-file:	CSV Vorlage:
Download Example	Télécharger le modèle	Download Example	Vorlage herunterladen
Drop CSV-file here!	Déposer le fichier CSV ici	Drop CSV-file here!	CSV Datei hier ablegen
The file you are trying to upload is not a valid CSV-file (comma separated values):	Le fichier que vous essayez de télécharger n'est pas un fichier CSV valide	The file you are trying to upload is not a valid CSV-file (comma separated values):	Die Datei, die Sie hochzuladen versuchen, ist keine gültige CSV Datei:
Add quick random password (6 characters)	Créer un mot de passe aléatoire (6 caractères)	Add quick random password (6 characters)	Zufälliges Passwort (6 Zeichen) erzeugen.
Add password	Ajouter un mot de passe	Add password	Passwort hinzufügen
Reset all tests for selected password	Réinitialiser tous les tests pour le mot de passe sélectionné	Reset all tests for selected password	Alle Tests für das gewählte Passwort zurücksetzen
Assign tests	Attribuer des tests	Assign tests	Tests zuweisen
Add meta tag	Ajouter un meta tag	Add meta tag	Meta-Tag hinzufügen
Meta-Key	Meta-Key	Meta-Key	Meta-Key
Meta-Value	Meta-Value	Meta-Value	Meta-Value
"Test taker wizard - Test takers (Logins) will be created in: """	"Assistant - Participants seront créés dans : """	"Wizard - Test takers (Logins) will be created in: """	"Assistent - Teilnehmer werden angelegt in: """
Add to selected - Add password/tests/meta tags to selected test takers or redefine override settings	Ajouter des mots de passe, tests, meta tags aux participants sélectionnés ou redéfinir les paramètre.	Add passwords/tests/meta tags to selected test takers or redefine override settings	Passwörter, Tests, Meta-Tags zu den ausgewählten Teilnehmern hinzufügen oder Sonderregeln definieren
"Create test takers from CSV-file - Test takers (Logins) will be created in: """	"Créer des participants à partir du fichier CSV - participants (Logins) seront créés dans : """	"Create test takers from CSV-file - Test takers (Logins) will be created in: """	"Teilnehmer von CSV Datei erstellen - Teilnehmer (Logins) werden erstellt in: """
Nothing selected ... nothing copied to clipboard!	Rien selectionné - rien copié dans le presse papier.	Nothing selected ... nothing copied to clipboard!	Nichts ausgewählt - nichts in die Zwischenablage kopiert.
test taker	Participant	test taker	Teilnehmer
Test takers/Logins	Participants/Logins	Test takers/Logins	Teilnehmer/Logins
Example name test taker/login	Exemple pour participant/Login	Example name test taker/login	Muster für Teilnehmer/Login
PREFIX	PREFIXE	PREFIX	PREFIX
Prefix	Préfixe	Prefix	Prefix
COUNTER	COMPTEUR	COUNTER	ZÄHLER
counter	compteur	counter	Zähler
Counter	Compteur	Counter	Zähler
SUFFIX	SUFFIXE	SUFFIX	SUFFIX
Suffix	Suffixe	Suffix	Suffix
at	à	at	bei
test taker name	Nom du participant	test taker name	Teilnehmername
with leading zeros	avec des zéros en tête	with leading zeros	mit führender Null
Auto passwords	Créer automatiquement	Auto create	Automatisch erzeugen
Please note:	Veuillez noter:	Please note:	Bitte beachten:
Automatically created passwords will be alphanumeric, but will not use 0,1,l and no vowels!	Les mots de passe automatiquement créés sont alphanumériques, mais ne contiennent ni 0,1,l, ni des voyelles	Automatically created passwords will be alphanumeric, but will not use 0,1,l and no vowels!	Automatisch erzeugte Passwörter sind alphanumerisch aber beinhalten weder 0,1,l noch Vokale
Characters	Caractères	Characters	Zeichen
PWs per test taker	Mots de passe par participants	PWs per test taker	Passwörter pro Teilnehmer
Same password(s) for each test taker	Même mot de passe pour chaque participant	Same password(s) for each test taker	Gleiches Passwort für jeden Teilnehmer
Delete existing password(s)	Supprimer les mots de passe existants	Delete existing password(s)	Vorhandene Passwörter löschen
Manual passwords	Définir les mots de passe pour tous les participants	Set passwords manually for all test takers	Passwörter für alle Teilnehmer manuell festlegen
Define override settings	Définir une règle spéciale	Define special conditions	Sonderregeln festlegen
Disable Timer	Désactiver le minuteur	Disable Timer	Timer deaktivieren
Additional time (%)	Temps supplémentaire (%)	Additional time (%)	Zusätzliche Zeit (%)
Disable saving	Désactiver la sauvegarde	Disable saving	Speichern deaktivieren
Disable navigation limitation	Désactiver la restriction à la navigation	Disable navigation limitation	Navigationsbeschränkung deaktivieren
Demo Mode	Mode Démo	Demo Mode	Demo Modus
Meta Tags	Meta Tags	Meta Tags	Meta-Tags
Values of existing meta tags with matching keys will be overwritten!	Valeurs des meta tags du même nom seront écrasées!	Values of existing meta tags with matching keys will be overwritten!	Werte von gleichnamigen Meta-Tags werden überschrieben!
Assign meta tags	Attribuer des meta tags	Assign meta tags	Meta-Tags zuweisen
Delete existing meta tag(s)	Supprimer les meta tags existants	Delete existing meta tag(s)	Vorhandene Meta-Tags löschen
Your test takers will be created in folder:	Les participants seront créés dans ce dossier:	Your test takers will be created in folder:	Die Teilnehmer werden in diesem Ordner erstellt:
"The number of testees to be created is set to 1. Are you sure you want to create %@ new test taker in the folder ""%@"" ?"	"Le nombre de participants se comporte à 1. Êtes-vous sûr de vouloir créer %@ participants dans le dossier ""%@""?"	"The number of testees to be created is set to 1. Are you sure you want to create %@ new test taker in the folder ""%@""?"	"Die Anzahl der Teilnehmer beträgt 1. Sind Sie sicher, dass Sie nur %@ Teilnehmer im Ordner ""%@"" erstellen wollen?"
"Are you sure you want to create %@ new test takers in the folder ""%@"" ?"	"Êtes-vous sûr de vouloir créer %@ nouveaux participants dans le dossier ""%@""?"	"Are you sure you want to create %@ new test takers in the folder ""%@""?"	"Sind Sie sicher, dass Sie %@ neue Teilnehmer im Ordner ""%@"" erstellen wollen?"
